Metric,Value
il1.accesses,65008541
il1.hits,63725323
il1.misses,1283218
il1.replacements,1282194
il1.writebacks,0
il1.invalidations,0
il1.miss_rate,0.0197
dl1.accesses,149608473
dl1.hits,145308084
dl1.misses,4300389
dl1.replacements,4299365
dl1.writebacks,2454943
dl1.invalidations,0
dl1.miss_rate,0.0287
mem.ptab_misses,40971
mem.ptab_accesses,565448076
mem.ptab_miss_rate,0.0001
