Metric,Value
il1.accesses,65133764
il1.hits,62002119
il1.misses,3131645
il1.replacements,3131389
il1.writebacks,0
il1.invalidations,0
il1.miss_rate,0.0481
dl1.accesses,44592168
dl1.hits,42738280
dl1.misses,1853888
dl1.replacements,1853632
dl1.writebacks,580340
dl1.invalidations,0
dl1.miss_rate,0.0416
mem.ptab_misses,13005
mem.ptab_accesses,355914672
mem.ptab_miss_rate,0.0000
